SCHOOL_YEAR,DISTRICT_NUMBER,FSA_SKILL_CODE,GRADE,PERCENT_UNKNOWN,PERCENT_BELOW,PERCENT_MEETING,PERCENT_EXCEEDING,PERCENT_MEET_OR_EXCEED,SCORE_TYPE,SCORE,PARTICIPATION_RATE
2011/2012,059,R,4,6,26,63,5,68,IRT,458.6404,94
2012/2013,059,R,4,4,21,65,9,75,IRT,475.4596,96
2013/2014,059,R,4,2,21,68,9,77,IRT,474.0656,98
2014/2015,059,R,4,6,26,61,6,68,IRT,459.5551,94
2007/2008,060,R,4,10,14,69,6,76,IRT,483.7947,90
2008/2009,060,R,4,12,14,63,11,74,IRT,487.7914,88
2009/2010,060,R,4,16,16,59,9,68,IRT,484.1299,84
2010/2011,060,R,4,9,15,67,9,76,IRT,489.416,91
2011/2012,060,R,4,10,22,61,7,68,IRT,467.6904,90
2012/2013,060,R,4,9,14,63,14,77,IRT,495.7696,91
2013/2014,060,R,4,10,23,60,8,68,IRT,475.3117,90
2014/2015,060,R,4,6,17,66,11,77,IRT,484.8015,94
2007/2008,061,R,4,6,12,66,16,82,IRT,507.6887,94
2008/2009,061,R,4,16,11,59,14,73,IRT,505.9763,84
2009/2010,061,R,4,20,14,53,13,66,IRT,502.1108,80
2010/2011,061,R,4,16,14,59,11,70,IRT,497.6144,84
2011/2012,061,R,4,14,15,59,12,71,IRT,497.1469,86
2012/2013,061,R,4,21,11,53,15,67,IRT,511.1215,79
2013/2014,061,R,4,22,12,51,15,66,IRT,509.1841,78
2014/2015,061,R,4,28,12,49,11,60,IRT,498.1053,72
2007/2008,062,R,4,8,14,67,11,78,IRT,489.9945,92
2008/2009,062,R,4,11,22,60,6,67,IRT,464.5036,89
2009/2010,062,R,4,27,17,49,7,57,IRT,476.5405,73
2010/2011,062,R,4,30,15,48,6,55,IRT,476.8353,70
2011/2012,062,R,4,46,14,34,6,40,IRT,471.7764,54
2012/2013,062,R,4,38,14,43,6,49,IRT,476.9674,62
2013/2014,062,R,4,35,17,40,8,48,IRT,472.2367,65
2014/2015,062,R,4,47,14,33,6,39,IRT,466.4253,53
2007/2008,063,R,4,3,8,69,19,88,IRT,522.9492,97
2008/2009,063,R,4,7,17,61,14,76,IRT,494.7216,93
2009/2010,063,R,4,16,17,53,14,68,IRT,496.9474,84
2010/2011,063,R,4,21,9,56,14,70,IRT,512.6474,79
2011/2012,063,R,4,9,13,66,12,78,IRT,498.3787,91
2012/2013,063,R,4,7,13,67,13,80,IRT,502.2124,93
2013/2014,063,R,4,9,16,60,15,75,IRT,498.3163,91
2014/2015,063,R,4,15,16,55,14,69,IRT,498.7454,85
2007/2008,064,R,4,18,11,60,11,71,IRT,513.2474,82
2008/2009,064,R,4,10,20,56,14,70,IRT,501.6543,90
2009/2010,064,R,4,16,9,58,16,75,IRT,522.2697,84
2010/2011,064,R,4,20,10,61,9,70,IRT,492.9506,80
2011/2012,064,R,4,30,10,47,13,60,IRT,511.6786,70
2012/2013,064,R,4,30,11,45,14,59,IRT,515.3947,70
2013/2014,064,R,4,29,7,53,11,64,IRT,512.1014,71
2014/2015,064,R,4,54,6,36,4,40,IRT,490.3043,46
2007/2008,067,R,4,11,11,65,12,77,IRT,496.0632,89
2008/2009,067,R,4,8,16,61,15,76,IRT,502.8686,92
2009/2010,067,R,4,14,15,60,10,71,IRT,492.0296,86
2010/2011,067,R,4,9,11,67,13,81,IRT,508.8441,91
2011/2012,067,R,4,4,11,69,15,84,IRT,503.1192,96
2012/2013,067,R,4,6,13,64,16,81,IRT,505.8402,94
2013/2014,067,R,4,6,16,64,13,77,IRT,497.7309,94
2014/2015,067,R,4,8,17,66,9,76,IRT,488.6374,92
2007/2008,068,R,4,10,21,60,8,69,IRT,470.6645,90
2008/2009,068,R,4,25,17,49,8,58,IRT,473.1885,75
2009/2010,068,R,4,18,22,51,9,60,IRT,470.653,82
2010/2011,068,R,4,15,22,57,7,64,IRT,466.4347,85
2011/2012,068,R,4,12,21,61,6,67,IRT,466.881,88
2012/2013,068,R,4,7,23,62,9,71,IRT,470.0862,93
2013/2014,068,R,4,10,24,58,8,66,IRT,465.4407,90
2014/2015,068,R,4,24,23,48,6,53,IRT,452.9696,76
2007/2008,069,R,4,14,22,54,11,65,IRT,476.3857,86
2008/2009,069,R,4,14,14,61,10,72,IRT,495.9632,86
2009/2010,069,R,4,16,14,61,8,70,IRT,484.4637,84
2010/2011,069,R,4,13,24,55,8,63,IRT,464.6148,87
2011/2012,069,R,4,15,16,58,12,70,IRT,491.9583,85
2012/2013,069,R,4,7,23,60,11,70,IRT,475.2394,93
2013/2014,069,R,4,5,21,64,10,74,IRT,482.567,95
2014/2015,069,R,4,11,24,59,7,65,IRT,467.1624,89
2007/2008,070,R,4,7,21,65,7,72,IRT,467,93
2008/2009,070,R,4,5,21,68,6,74,IRT,460.588,95
2009/2010,070,R,4,8,22,61,8,70,IRT,470.3067,92
2010/2011,070,R,4,7,27,61,5,66,IRT,459.6356,93
2011/2012,070,R,4,7,18,69,7,76,IRT,475.188,93
2012/2013,070,R,4,5,29,62,3,65,IRT,449.7876,95
2013/2014,070,R,4,5,20,68,7,75,IRT,472.7241,95
2014/2015,070,R,4,7,24,60,9,68,IRT,461.521,93
2007/2008,071,R,4,9,16,63,12,75,IRT,491.6037,91
2008/2009,071,R,4,20,19,52,8,61,IRT,479.8365,80
2009/2010,071,R,4,19,15,55,11,66,IRT,494.1943,81
2010/2011,071,R,4,19,18,53,10,63,IRT,482.3682,81
2011/2012,071,R,4,17,15,60,8,68,IRT,480.2735,83
2012/2013,071,R,4,7,19,60,14,74,IRT,487.6937,93
2013/2014,071,R,4,12,19,62,7,69,IRT,474.9617,88
2014/2015,071,R,4,13,21,57,9,66,IRT,471.2115,87
2007/2008,072,R,4,13,22,58,7,65,IRT,474.545,87
2008/2009,072,R,4,14,25,55,6,61,IRT,467.4193,86
2009/2010,072,R,4,31,22,40,8,47,IRT,457.3371,69
2010/2011,072,R,4,24,17,49,10,59,IRT,479.364,76
2011/2012,072,R,4,28,22,44,6,50,IRT,458.3963,72
2012/2013,072,R,4,29,16,49,6,55,IRT,465.9627,71
2013/2014,072,R,4,17,26,52,5,56,IRT,445.8504,83
2014/2015,072,R,4,31,20,47,2,49,IRT,446.9658,69
2007/2008,073,R,4,5,14,71,10,81,IRT,488.8936,95
2008/2009,073,R,4,6,20,64,11,75,IRT,479.0764,94
2009/2010,073,R,4,5,18,64,13,77,IRT,490.4783,95
2010/2011,073,R,4,4,22,66,8,74,IRT,470.6353,96
2011/2012,073,R,4,7,18,64,10,75,IRT,485.9668,93
2012/2013,073,R,4,5,16,67,13,79,IRT,492.6086,95
2013/2014,073,R,4,4,17,67,11,79,IRT,492.2385,96
2014/2015,073,R,4,5,18,70,8,77,IRT,479.5647,95
2007/2008,074,R,4,8,32,55,5,60,IRT,444.3824,92
2008/2009,074,R,4,8,30,52,10,62,IRT,450.4105,92
2009/2010,074,R,4,7,31,56,6,62,IRT,447.56,93
2010/2011,074,R,4,8,28,63,1,64,IRT,449.2278,92
2011/2012,074,R,4,6,35,51,7,59,IRT,453.6104,94
2012/2013,074,R,4,11,38,51,1,52,IRT,426.0526,89
2013/2014,074,R,4,4,35,54,6,61,IRT,440.0556,96
2014/2015,074,R,4,4,39,55,2,57,IRT,424.198,96
2007/2008,075,R,4,8,22,60,10,70,IRT,474.9089,92
2008/2009,075,R,4,13,21,59,7,66,IRT,471.8476,87
2009/2010,075,R,4,10,22,62,6,68,IRT,463.2985,90
2010/2011,075,R,4,11,26,57,7,63,IRT,466.96,89
2011/2012,075,R,4,13,23,59,5,64,IRT,456.3204,87
2012/2013,075,R,4,10,19,62,9,71,IRT,479.8702,90
2013/2014,075,R,4,13,20,61,5,67,IRT,467.4158,87
2014/2015,075,R,4,10,27,58,5,63,IRT,456.0082,90
2007/2008,078,R,4,5,16,71,8,79,IRT,472.2692,95
2008/2009,078,R,4,45,14,35,6,41,IRT,470.1975,55
2009/2010,078,R,4,43,15,35,6,42,IRT,468.873,57
2010/2011,078,R,4,42,19,35,4,39,IRT,453.0909,58
2011/2012,078,R,4,32,14,47,7,54,IRT,479.3571,68
2012/2013,078,R,4,30,15,52,3,55,IRT,483.2817,70
2013/2014,078,R,4,28,21,43,9,52,IRT,457.2262,72
2014/2015,078,R,4,25,10,53,11,64,IRT,503.6705,75
2007/2008,079,R,4,12,19,58,10,69,IRT,478.7333,88
2008/2009,079,R,4,15,17,60,8,68,IRT,477.7099,85
2009/2010,079,R,4,18,18,55,8,63,IRT,472.3387,82
2010/2011,079,R,4,19,19,54,8,62,IRT,473.0743,81
2011/2012,079,R,4,20,17,55,8,63,IRT,480.389,80
2012/2013,079,R,4,19,15,56,10,66,IRT,491.4855,81
2013/2014,079,R,4,25,21,48,6,54,IRT,455.769,75
2014/2015,079,R,4,30,24,41,4,45,IRT,442.4659,70
2007/2008,081,R,4,0,0,76,24,100,IRT,564.2388,100
2008/2009,081,R,4,3,0,70,26,97,IRT,570.1017,97
2009/2010,081,R,4,8,0,56,36,92,IRT,578.4815,92
2010/2011,081,R,4,10,0,43,47,90,IRT,599.913,90
2011/2012,081,R,4,3,2,57,38,95,IRT,587.5254,97
2012/2013,081,R,4,9,0,47,44,91,IRT,594.0192,91
2013/2014,081,R,4,0,2,69,29,98,IRT,558.1552,100
2014/2015,081,R,4,5,0,75,21,95,IRT,539.4833,95
2007/2008,082,R,4,9,24,59,8,67,IRT,462.7022,91
2008/2009,082,R,4,17,23,54,6,61,IRT,457.1378,83
2009/2010,082,R,4,15,32,49,4,53,IRT,440.3287,85
2010/2011,082,R,4,20,25,50,5,55,IRT,456.5138,80
2011/2012,082,R,4,33,22,40,5,45,IRT,450.6756,67
2012/2013,082,R,4,18,25,53,4,57,IRT,449.1441,82
2013/2014,082,R,4,15,29,53,2,56,IRT,439.0231,85
2014/2015,082,R,4,23,26,44,7,51,IRT,451.0155,77
2007/2008,083,R,4,8,18,64,10,74,IRT,476.3542,92
2008/2009,083,R,4,16,21,57,7,63,IRT,470.9105,84
2009/2010,083,R,4,15,27,53,5,59,IRT,452.0833,85
2010/2011,083,R,4,13,26,54,7,61,IRT,456.9681,87
2011/2012,083,R,4,12,23,58,7,65,IRT,462.1681,88
2012/2013,083,R,4,13,18,59,11,70,IRT,478.6072,87
2013/2014,083,R,4,13,24,56,8,63,IRT,456.219,87
2014/2015,083,R,4,12,22,59,8,67,IRT,465.3531,88
2007/2008,084,R,4,14,26,54,6,60,IRT,460.6667,86
2008/2009,084,R,4,30,30,37,3,40,IRT,434.7619,70
2009/2010,084,R,4,20,27,40,13,53,IRT,459.6667,80
2010/2011,084,R,4,5,37,53,5,58,IRT,414.0556,95
2011/2012,084,R,4,6,35,56,3,59,IRT,418.9688,94
2012/2013,084,R,4,14,33,47,6,53,IRT,437,86
2013/2014,084,R,4,15,31,42,12,54,IRT,465.4545,85
2014/2015,084,R,4,15,55,30,0,30,IRT,371,85
2007/2008,085,R,4,10,22,60,8,68,IRT,472,90
2008/2009,085,R,4,8,25,56,11,67,IRT,468.1064,92
2009/2010,085,R,4,11,27,53,9,62,IRT,466.6667,89
2010/2011,085,R,4,16,34,46,4,50,IRT,434.3854,84
2011/2012,085,R,4,10,37,51,3,54,IRT,417.7723,90
2012/2013,085,R,4,6,20,67,6,74,IRT,473.2584,94
2013/2014,085,R,4,4,30,61,4,65,IRT,450.5795,96
2014/2015,085,R,4,6,23,60,11,71,IRT,477.9894,94
2007/2008,091,R,4,19,24,51,6,57,IRT,454.6241,81
2008/2009,091,R,4,17,24,52,8,60,IRT,467.1397,83
2009/2010,091,R,4,26,27,40,7,47,IRT,447.9866,74
2010/2011,091,R,4,27,24,44,5,49,IRT,444.3682,73
2011/2012,091,R,4,22,30,44,4,48,IRT,438.8036,78
2012/2013,091,R,4,18,25,49,8,57,IRT,448.6872,82
2013/2014,091,R,4,24,25,42,9,51,IRT,453.4414,76
2014/2015,091,R,4,38,23,35,4,39,IRT,442.8683,62
2007/2008,092,R,4,14,68,14,5,18,IRT,343.2105,86
2008/2009,092,R,4,0,31,63,6,69,IRT,428.4375,100
2009/2010,092,R,4,13,77,10,0,10,IRT,352.8148,87
2010/2011,092,R,4,9,77,14,0,14,IRT,344.25,91
2011/2012,092,R,4,11,58,31,0,31,IRT,376.2188,89
2012/2013,092,R,4,0,55,45,0,45,IRT,376.7273,100
2013/2014,092,R,4,10,55,35,0,35,IRT,393.3571,90
2014/2015,092,R,4,14,48,38,0,38,IRT,389.2,86
2007/2008,093,R,4,1,29,56,15,71,IRT,486.7101,99
2008/2009,093,R,4,11,24,52,13,65,IRT,485.7473,89
2009/2010,093,R,4,11,18,59,12,71,IRT,498.891,89
2010/2011,093,R,4,10,23,55,12,67,IRT,490.5428,90
2011/2012,093,R,4,18,23,44,15,59,IRT,493.4043,82
2012/2013,093,R,4,19,20,42,19,60,IRT,509.5349,81
2013/2014,093,R,4,15,17,48,19,67,IRT,518.426,85
2014/2015,093,R,4,26,13,43,17,61,IRT,545.3104,74
2007/2008,Prov,R,7,9,23,57,10,67,IRT,484.8916,91
2008/2009,Prov,R,7,17,19,53,11,64,IRT,492.3089,83
2009/2010,Prov,R,7,18,19,53,10,62,IRT,487.9379,82
2010/2011,Prov,R,7,17,19,55,9,64,IRT,485.5074,83
2011/2012,Prov,R,7,18,20,53,8,62,IRT,484.3532,82
2012/2013,Prov,R,7,17,20,54,9,63,IRT,485.7818,83
2013/2014,Prov,R,7,17,19,55,9,64,IRT,489.3059,83
2014/2015,Prov,R,7,21,19,51,9,60,IRT,486.0947,79
2007/2008,005,R,7,8,33,53,6,59,IRT,459.9803,92
2008/2009,005,R,7,14,31,50,6,56,IRT,456.4558,86
2009/2010,005,R,7,21,28,47,5,52,IRT,457.0733,79
2010/2011,005,R,7,14,28,55,3,58,IRT,456.7548,86
2011/2012,005,R,7,8,29,57,7,64,IRT,460.0579,92
2012/2013,005,R,7,10,21,60,9,69,IRT,485.0745,90
2013/2014,005,R,7,12,26,55,7,62,IRT,469.6085,88
2014/2015,005,R,7,17,27,50,6,56,IRT,465.9753,83
2007/2008,006,R,7,8,23,59,11,70,IRT,484.8448,92
2008/2009,006,R,7,10,28,55,7,62,IRT,466.0144,90
2009/2010,006,R,7,7,22,60,11,71,IRT,486.6282,93
2010/2011,006,R,7,6,24,67,3,70,IRT,471.7723,94
2011/2012,006,R,7,9,18,66,7,73,IRT,489.1857,91
2012/2013,006,R,7,1,26,66,7,73,IRT,466.5648,99
2013/2014,006,R,7,3,17,69,10,79,IRT,498.04,97
2014/2015,006,R,7,4,23,65,8,73,IRT,480.2212,96
2007/2008,008,R,7,13,18,55,14,69,IRT,503.2392,87
2008/2009,008,R,7,30,19,42,8,50,IRT,482.215,70
2009/2010,008,R,7,24,16,51,9,60,IRT,498.2234,76
2010/2011,008,R,7,20,19,53,8,61,IRT,479.0735,80
2011/2012,008,R,7,33,22,42,3,45,IRT,462.75,67
2012/2013,008,R,7,23,22,45,10,55,IRT,471.1574,77
2013/2014,008,R,7,28,26,42,3,45,IRT,441.2769,72
2014/2015,008,R,7,27,28,41,3,45,IRT,439.2727,73
2007/2008,010,R,7,14,18,61,7,68,IRT,480.5918,86
2008/2009,010,R,7,11,14,61,14,75,IRT,516.1282,89
2009/2010,010,R,7,0,20,66,14,80,IRT,507.1143,100
2010/2011,010,R,7,8,18,68,6,74,IRT,484.1087,92
2011/2012,010,R,7,40,4,52,4,56,IRT,502.3793,60
2012/2013,010,R,7,5,14,70,11,81,IRT,502.4571,95
2013/2014,010,R,7,18,11,58,13,71,IRT,536.4839,82
2014/2015,010,R,7,10,25,58,8,65,IRT,478.8889,90
2007/2008,019,R,7,5,15,67,12,80,IRT,506.3226,95
2008/2009,019,R,7,1,9,73,17,90,IRT,527.2632,99
2009/2010,019,R,7,6,6,69,19,88,IRT,536.3816,94
2010/2011,019,R,7,8,11,70,11,81,IRT,506.3649,93
2011/2012,019,R,7,15,11,65,10,74,IRT,498.1509,85
2012/2013,019,R,7,9,17,63,11,74,IRT,505.4688,91
2013/2014,019,R,7,15,23,49,13,62,IRT,491.2239,85
2014/2015,019,R,7,16,23,58,3,61,IRT,482.3654,84
2007/2008,020,R,7,10,21,55,14,69,IRT,506.5857,90
2008/2009,020,R,7,20,22,50,8,58,IRT,478.1932,80
2009/2010,020,R,7,22,16,53,9,62,IRT,494.5368,78
2010/2011,020,R,7,15,17,58,10,68,IRT,491.9213,85
2011/2012,020,R,7,31,15,48,7,54,IRT,486.2312,69
2012/2013,020,R,7,21,21,53,6,59,IRT,477.4558,79
2013/2014,020,R,7,27,17,47,9,56,IRT,481.1722,73
2014/2015,020,R,7,40,10,45,5,50,IRT,507.6181,60
2007/2008,022,R,7,7,23,59,11,71,IRT,487.603,93
2008/2009,022,R,7,19,20,51,10,61,IRT,488.0467,81
2009/2010,022,R,7,12,20,60,8,68,IRT,487.1111,88
2010/2011,022,R,7,12,21,57,10,67,IRT,481.3385,88
2011/2012,022,R,7,12,22,57,9,66,IRT,487.4836,88
2012/2013,022,R,7,7,22,59,12,71,IRT,492.8509,93
2013/2014,022,R,7,11,21,59,9,68,IRT,494.1887,89
2014/2015,022,R,7,10,21,61,8,68,IRT,488.9201,90
2007/2008,023,R,7,5,25,61,9,70,IRT,478.554,95
2008/2009,023,R,7,8,21,61,10,71,IRT,490.8075,92
2009/2010,023,R,7,19,21,51,9,60,IRT,482.8753,81
2010/2011,023,R,7,17,20,56,7,63,IRT,476.01,83
2011/2012,023,R,7,18,21,53,8,61,IRT,478.2354,82
2012/2013,023,R,7,17,18,57,8,64,IRT,484.0999,83
2013/2014,023,R,7,24,19,51,6,57,IRT,477.2851,76
2014/2015,023,R,7,32,20,43,5,48,IRT,467.4545,68
2007/2008,027,R,7,5,32,54,9,63,IRT,462.5683,95
2008/2009,027,R,7,12,27,53,8,61,IRT,471.453,88
2009/2010,027,R,7,7,23,62,9,71,IRT,483.9388,93
2010/2011,027,R,7,7,23,62,8,70,IRT,481.3021,93
2011/2012,027,R,7,6,24,63,7,70,IRT,479.9146,94
2012/2013,027,R,7,6,27,60,7,67,IRT,468.9889,94
2013/2014,027,R,7,7,28,55,10,66,IRT,476.0208,93
2014/2015,027,R,7,10,23,61,7,68,IRT,479.9043,90
2007/2008,028,R,7,11,34,53,3,55,IRT,446.9928,89
2008/2009,028,R,7,31,25,39,5,44,IRT,448.9464,69
2009/2010,028,R,7,26,31,34,8,43,IRT,437.5583,74
2010/2011,028,R,7,41,20,36,3,39,IRT,447.319,59
2011/2012,028,R,7,31,30,36,4,39,IRT,431.057,69
2012/2013,028,R,7,37,25,35,4,38,IRT,438.2764,63
2013/2014,028,R,7,44,29,23,3,26,IRT,406.381,56
2014/2015,028,R,7,57,23,20,0,20,IRT,416.9872,43
2007/2008,033,R,7,10,26,56,8,64,IRT,475.2472,90
2008/2009,033,R,7,34,20,40,5,45,IRT,469.2354,66
2009/2010,033,R,7,25,22,46,7,53,IRT,475.2735,75
2010/2011,033,R,7,22,23,49,6,55,IRT,468.1303,78
2011/2012,033,R,7,16,24,53,7,60,IRT,472.1592,84
2012/2013,033,R,7,10,22,60,8,68,IRT,480.9071,90
2013/2014,033,R,7,8,21,61,10,71,IRT,489.2603,92
2014/2015,033,R,7,17,24,52,7,59,IRT,473.2197,83
2007/2008,034,R,7,5,21,61,13,74,IRT,496.0175,95
2008/2009,034,R,7,9,20,62,9,71,IRT,489.6559,91
2009/2010,034,R,7,7,20,61,12,73,IRT,491.8895,93
2010/2011,034,R,7,5,22,64,10,73,IRT,486.5965,95
2011/2012,034,R,7,6,23,63,8,71,IRT,480.6667,94
2012/2013,034,R,7,6,22,61,11,72,IRT,483.9852,94
2013/2014,034,R,7,6,21,64,9,73,IRT,488.7479,94
2014/2015,034,R,7,5,21,64,10,74,IRT,487.9808,95
2007/2008,035,R,7,1,22,62,14,77,IRT,493.206,99
2008/2009,035,R,7,9,16,62,13,74,IRT,503.0555,91
2009/2010,035,R,7,12,17,60,11,70,IRT,498.1994,88
2010/2011,035,R,7,10,17,63,10,73,IRT,497.7958,90
2011/2012,035,R,7,12,20,58,10,68,IRT,492.8153,88
2012/2013,035,R,7,10,18,61,11,72,IRT,495.1034,90
2013/2014,035,R,7,8,15,63,15,77,IRT,509.5186,92
2014/2015,035,R,7,12,16,61,10,72,IRT,494.6914,88
2007/2008,036,R,7,8,28,56,8,64,IRT,470.1488,92
2008/2009,036,R,7,11,22,58,9,67,IRT,483.8668,89
2009/2010,036,R,7,10,21,60,9,69,IRT,486.3718,90
2010/2011,036,R,7,9,22,61,9,69,IRT,481.4723,91
2011/2012,036,R,7,11,23,58,8,66,IRT,479.4367,89
2012/2013,036,R,7,10,23,59,8,67,IRT,478.3934,90
2013/2014,036,R,7,11,22,58,9,67,IRT,483.9348,89
2014/2015,036,R,7,15,20,56,9,65,IRT,486.0511,85
2007/2008,037,R,7,9,18,62,12,73,IRT,501.2062,91
2008/2009,037,R,7,23,15,51,11,62,IRT,502.8337,77
2009/2010,037,R,7,24,14,51,11,62,IRT,500.105,76
2010/2011,037,R,7,26,17,49,8,57,IRT,484.357,74
2011/2012,037,R,7,16,16,57,10,67,IRT,497.5338,84
2012/2013,037,R,7,18,16,58,8,66,IRT,489.0559,82
2013/2014,037,R,7,22,20,50,9,59,IRT,486.8852,78
2014/2015,037,R,7,23,17,53,7,60,IRT,483.7645,77
2007/2008,038,R,7,9,18,61,13,74,IRT,503.9401,91
2008/2009,038,R,7,12,11,60,16,77,IRT,524.3384,88
2009/2010,038,R,7,17,11,58,15,72,IRT,520.2096,83
2010/2011,038,R,7,15,10,57,17,74,IRT,523.1081,85
2011/2012,038,R,7,15,12,59,14,73,IRT,515.7264,85
2012/2013,038,R,7,18,13,57,13,69,IRT,513.3689,82
2013/2014,038,R,7,16,13,59,12,71,IRT,513.839,84
2014/2015,038,R,7,23,10,51,15,67,IRT,523.1006,77
2007/2008,039,R,7,22,18,50,10,60,IRT,490.9853,78
2008/2009,039,R,7,33,11,43,13,56,IRT,514.0018,67
2009/2010,039,R,7,38,15,39,8,47,IRT,487.0994,62
2010/2011,039,R,7,36,11,44,9,53,IRT,503.3347,64
2011/2012,039,R,7,37,12,42,9,51,IRT,499.2208,63
2012/2013,039,R,7,35,14,44,7,52,IRT,493.4736,65
2013/2014,039,R,7,37,13,42,8,50,IRT,495.2872,63
2014/2015,039,R,7,39,12,40,9,49,IRT,502.3504,61
2007/2008,040,R,7,7,28,54,11,65,IRT,473.8625,93
2008/2009,040,R,7,9,24,52,15,67,IRT,487.9283,91
2009/2010,040,R,7,14,20,58,9,67,IRT,484.8852,86
2010/2011,040,R,7,12,22,59,7,66,IRT,476.4385,88
2011/2012,040,R,7,16,20,54,10,64,IRT,484.4212,84
2012/2013,040,R,7,11,18,57,14,71,IRT,498.2738,89
2013/2014,040,R,7,15,17,58,10,68,IRT,496.3374,85
2014/2015,040,R,7,13,16,60,11,71,IRT,499.7239,87
2007/2008,041,R,7,15,17,56,12,68,IRT,500.892,85
2008/2009,041,R,7,19,15,54,12,67,IRT,506.2467,81
2009/2010,041,R,7,17,16,54,12,67,IRT,501.7635,83
2010/2011,041,R,7,17,16,56,11,68,IRT,502.288,83
2011/2012,041,R,7,17,16,58,10,68,IRT,501.8938,83
2012/2013,041,R,7,15,17,57,10,68,IRT,496.6288,85
2013/2014,041,R,7,16,14,56,13,70,IRT,511.2496,84
2014/2015,041,R,7,18,14,56,12,68,IRT,505.8101,82
2007/2008,042,R,7,6,26,59,8,68,IRT,476.2556,94
2008/2009,042,R,7,44,14,35,6,41,IRT,484.318,56
2009/2010,042,R,7,20,26,47,7,54,IRT,470.9453,80
2010/2011,042,R,7,24,24,47,5,52,IRT,455.1007,76
2011/2012,042,R,7,35,16,43,6,49,IRT,480.2585,65
2012/2013,042,R,7,41,15,38,6,44,IRT,480.2704,59
2013/2014,042,R,7,44,12,40,5,45,IRT,488.1324,56
2014/2015,042,R,7,62,11,24,3,27,IRT,477.0967,38
2007/2008,043,R,7,6,23,59,11,70,IRT,487.567,94
2008/2009,043,R,7,11,21,56,12,68,IRT,492.572,89
2009/2010,043,R,7,16,19,56,10,65,IRT,490.0459,84
2010/2011,043,R,7,17,18,56,9,65,IRT,489.9468,83
2011/2012,043,R,7,18,22,52,8,60,IRT,475.6887,82
2012/2013,043,R,7,18,20,54,7,62,IRT,479.9375,82
2013/2014,043,R,7,15,21,57,7,64,IRT,482.3286,85
2014/2015,043,R,7,14,21,57,8,65,IRT,480.9189,86
2007/2008,044,R,7,14,17,55,14,70,IRT,504.1424,86
2008/2009,044,R,7,18,15,53,14,67,IRT,506.3272,82
2009/2010,044,R,7,17,14,54,15,69,IRT,508.8118,83
2010/2011,044,R,7,13,13,59,15,74,IRT,514.7701,87
2011/2012,044,R,7,12,18,57,13,69,IRT,495.7382,88
2012/2013,044,R,7,9,17,61,13,74,IRT,505.8623,91
2013/2014,044,R,7,7,16,62,15,77,IRT,507.6914,93
2014/2015,044,R,7,6,16,65,13,78,IRT,501.7916,94
2007/2008,045,R,7,6,10,59,25,84,IRT,542.294,94
2008/2009,045,R,7,7,3,58,32,89,IRT,569.0292,93
2009/2010,045,R,7,9,5,59,27,86,IRT,551.6762,91
2010/2011,045,R,7,10,5,59,25,85,IRT,557.5724,90
2011/2012,045,R,7,8,7,63,22,85,IRT,546.0257,92
2012/2013,045,R,7,12,5,58,25,83,IRT,560.5396,88
2013/2014,045,R,7,8,5,63,24,87,IRT,548.6356,92
2014/2015,045,R,7,10,4,58,29,87,IRT,564.2991,90
2007/2008,046,R,7,5,20,63,13,76,IRT,502.1887,95
2008/2009,046,R,7,9,20,56,15,71,IRT,494.5458,91
2009/2010,046,R,7,13,21,52,15,66,IRT,501.098,88
2010/2011,046,R,7,15,16,57,13,70,IRT,506.478,85
2011/2012,046,R,7,11,22,57,10,67,IRT,493.3659,89
2012/2013,046,R,7,17,17,54,12,66,IRT,500.8053,83
2013/2014,046,R,7,18,12,57,13,70,IRT,514.6322,82
2014/2015,046,R,7,13,16,59,11,70,IRT,499.3869,87
2007/2008,047,R,7,9,20,59,12,71,IRT,494.4633,91
2008/2009,047,R,7,12,15,55,17,72,IRT,508.2138,88
2009/2010,047,R,7,10,19,61,10,71,IRT,493.8606,90
2010/2011,047,R,7,10,26,57,7,63,IRT,478.708,90
2011/2012,047,R,7,13,20,64,4,68,IRT,475.5179,88
2012/2013,047,R,7,14,20,59,7,65,IRT,490.2381,86
2013/2014,047,R,7,11,19,63,7,70,IRT,485.2018,89
2014/2015,047,R,7,23,26,45,7,52,IRT,456.3077,77
2007/2008,048,R,7,10,18,60,12,72,IRT,497.8149,90
2008/2009,048,R,7,6,16,59,19,78,IRT,514.6465,94
2009/2010,048,R,7,4,18,65,12,78,IRT,498.6376,96
2010/2011,048,R,7,5,16,72,7,79,IRT,496.2465,95
2011/2012,048,R,7,5,20,60,14,75,IRT,500.3581,95
2012/2013,048,R,7,5,18,65,13,77,IRT,500.1967,95
2013/2014,048,R,7,4,16,68,12,79,IRT,503.8955,96
2014/2015,048,R,7,3,24,63,10,73,IRT,489.2776,97
2007/2008,050,R,7,17,40,37,6,42,IRT,447.4186,83
2008/2009,050,R,7,10,28,52,10,62,IRT,468.2545,90
2009/2010,050,R,7,4,40,50,6,56,IRT,457.6458,96
2010/2011,050,R,7,10,25,57,8,65,IRT,481.9474,90
2011/2012,050,R,7,4,38,56,2,58,IRT,432.9302,96
2012/2013,050,R,7,4,37,54,6,60,IRT,450.76,96
2013/2014,050,R,7,8,18,73,3,75,IRT,485.7027,93
2014/2015,050,R,7,2,44,51,2,54,IRT,435,98
2007/2008,051,R,7,8,24,62,6,69,IRT,477.9744,92
